wordID	term	sentence A	sentence B	score1	score2	score3
16	social stratification 	 The existence of structured inequalities among groups in society, in terms of their access to material or symbolic rewards. While all societies involve some forms of stratification, only with the development of state-based systems did wide differences in wealth and power arise. The most distinctive form of stratification in modern societies is class divisions.	 A subfield of sociology that examines inequalities among individuals and groups.
17	minority group 	 A group of people who are in a minority in a given society and who, because of their distinct physical or cultural characteristics, find themselves in situations of inequality within that society. Also known as ethnic minority.	 People who are singled out for unequal treatment and who regard themselves as objects of collective discrimination.
18	colonialism 	 The process whereby Western nations established their rule in parts of the world away from their home territories.	 The process by which one nation takes over another nation, usually for the purpose of exploiting its labor and natural resources.
19	infant mortality rate 	 The number of infants who die during the first year of life, per 1,000 live births.	 A measure of infant mortality, defined as the number of deaths per 1,000 live births in a given calendar year, with the number of deaths referring to babies who die during their first 12 months of life.
20	continuity theory 	 Theoretical perspective on aging that specifies that older adults fare best when they participate in activities consistent with their personality, preferences, and activities earlier in life.	 A theory focusing on how people adjust to retirement by continuing aspects of their earlier lives.
21	ethnomethodology 	 The study of how people make sense of what others say and do in the course of day-to-day social interaction. Ethnomethodology is concerned with the “ethnomethods” by which people sustain meaningful exchanges with one another.	 A line of sociological inquiry (introduced by Harold Garfinkel) that studies the ways (tools and methods) members of a particular group construct social order and make sense of their everyday lives.
22	capitalism 	 An economic system based on the private ownership of wealth, which is invested and reinvested in order to produce profit.	 An economic system organized around private property and market exchange. In a capitalist economy, goods that are produced for consumption are distributed via exchange on the market.
23	leader 	 A person who is able to influence the behavior of other members of a group.	 Someone who influences other people.
24	social reproduction 	 The process whereby societies have structural continuity over time. Social reproduction is an important pathway through which parents transmit or produce values, norms, and social practices among their children.	 The processes that transmit inequality from one generation to the next.
25	organic solidarity 	 According to Émile Durkheim, the social cohesion that results from the various parts of a society functioning as an integrated whole.	 According to Emile Durkheim, as societies become more advanced, they are held together through the mutual dependence and interdependence individuals have with one another.
26	emigration 	 The movement of people out of one country in order to settle in another.	 The act of leaving one’s country of birth to move to a new country.
27	welfare state 	 A political system that provides a wide range of welfare benefits for its citizens.	 The bundle of programs that provide social insurance and social assistance for people falling into one or another category of attributes (such as old age, disability, or poverty). The most important types of welfare-state programs are old-age pensions (known in the United States as Social Security), health insurance programs, unemployment insurance, job training programs, and general welfare assistance for the very poor. Some analysts also include education in the mix of programs considered part of the welfare state.
28	family of procreation 	 The family an individual initiates through marriage or by having children.	 The family formed when a couple’s first child is born.
29	diaspora 	 The dispersal of an ethnic population from an original homeland into foreign areas, often in a forced manner or under traumatic circumstances.	 A group of people dispersed from their original homeland and settled in other areas for long periods of time who nonetheless retain cultural practices, memories, and ties to that space.
30	intergenerational mobility 	 Movement up or down a social stratification hierarchy from one generation to another.	 The change that family members make in social class from one generation to the next.
31	crude death rate 	 A statistical measure representing the number of deaths that occur annually in a given population per year, normally calculated as the number of deaths per 1,000 members. Crude death rates give a general indication of the mortality levels of a community or society, but are limited in their usefulness because they do not take into account the age distribution.	 The annual number of deaths per 1,000 population.
32	sociobiology 	 An approach that attempts to explain the behavior of both animals and human beings in terms of biological principles.	 A framework of thought in which human behavior is considered to be the result of natural selection and biological factors.
33	organization 	 A large group of individuals with a definite set of authority relations. Many types of organizations exist in industrialized societies, influencing most aspects of our lives. While not all organizations are bureaucratic, there are close links between the development of organizations and bureaucratic tendencies.	 A social group or social network that is unified by a common institutional structure, such as a government agency, a school, a business firm, the military, a religion, and many others.
34	civil religion 	 The sacred beliefs, practices, and symbols associated with a particular nation-state or community, which may or may not contain elements of a traditional organized religion.	 Robert Bellah’s term for religion that is such an established feature of a country’s life that its history and social institutions become sanctified by being associated with God.
35	sanction 	 A mode of reward or punishment that reinforces socially expected forms of behavior.	 Any type of punishment, including both formal punishment (based on laws or written rules) and informal types of punishments.
36	sacred 	 Describing something that inspires awe or reverence among those who believe in a given set of religious ideas.	 Holy; worthy of special reverence.
37	independent variable 	 A factor that might help to explain some outcome of interest. An example might be the impact of educational level—in this case, the independent variable—on one’s income as an adult.	 A factor that causes a change in another variable, called the dependent variable.
38	working poor 	 People who work, but whose earnings are not enough to lift them above the poverty line.	 People who do not make enough income to be free from poverty, even if they work full time.
39	caste system 	 A social system in which one’s social status is determined at birth and set for life.	 A form of social stratification in which people’s statuses are lifelong conditions determined by birth.
40	social capital 	 The social knowledge and connections that enable people to accomplish their goals and extend their influence.	 The resources available to a particular individual through his or her connections to others.
41	direct democracy 	 A form of participatory democracy that allows citizens to vote directly on laws and policies.	 A form of democracy in which the eligible voters meet together to discuss issues and make their decisions.
42	marriage 	 A socially approved sexual relationship between two individuals. Through much of history, marriage involved two persons of opposite sexes, but in the past decade, same-sex couples have gained legal access to marriage in some parts of the world. Marriage normally forms the basis of a family of procreation—that is, it is expected that the married couple will produce and raise children. Some societies and subcultures permit polygamy, in which an individual may have more than one spouse at the same time.	 A group’s approved mating arrangements, usually marked by a ritual of some sort.
43	society 	 A group of people who live in a particular territory, are subject to a common system of political authority, and are aware of having a distinct identity from other groups. Some societies, like hunting and gathering societies, are small, numbering no more than a few dozen people. Others are large, numbering millions—modern Chinese society, for instance, has a population of more than a billion people.	 A large group of people who live in the same area and participate in a common economy or culture.
44	dominant group 	 The opposite of a minority group; the dominant group possesses more wealth, power, and prestige in a society.	 The group with the most power, greatest privileges, and highest social status.
45	validity 	 The extent to which the measurement a researcher uses accurately measures what it is intended to measure.	 The extent to which an operational definition measures what it is intended to measure.
46	peer group 	 A friendship group composed of individuals of similar age and social status.	 A group of individuals, often of roughly the same age, who are linked by common interests and orientations.
47	edge city 	 A concentrated area of business, shopping, and entertainment just outside of the historical urban centers of commerce. Edge cities differ from classic suburbs in having a considerable amount of land devoted to economic activities, not just residences.	 A large clustering of service facilities and residential areas near highway intersections that provides a sense of place to people who live, shop, and work there.
48	urbanization 	 The development of towns and cities.	 The growth of cities.
49	cohabitation 	 Two people living together in a sexual relationship of some permanence without being married to each other.	 The act of an unmarried straight or gay couple living together.
50	representative sample 	 A sample from a larger population that is statistically typical of that population.	 A small group of people, ideally selected at random, who are similar to the entire population.
51	class 	 Although it is one of the most frequently used concepts in sociology, there is no clear agreement about how the term should be defined. Most sociologists use the term to refer to socioeconomic variations among groups of individuals that create variations in their material prosperity and power.	 The sociological concept that refers to a group of people who share a similar social and economic position in society.
52	cult 	 A fragmentary religious grouping to which individuals are loosely affiliated but which lacks any permanent structure.	 A new religion with few followers, whose teachings and practices put it at odds with the dominant culture and religion.
53	segregation 	 The practices of keeping racial and ethnic groups physically separate, thereby maintaining the superior position of the dominant group.	 The spatial separation of the population based on race or ethnicity.
54	state 	 A political apparatus (government institutions plus civil service officials) ruling over a given territorial order, whose authority is backed by law and the ability to use force. The emergence of the state marked a distinctive transition in human history, because the centralization of political power involved in state formation introduced new dynamics into processes of social change.	 All of the agencies and offices of governing institutions, including government bureaucracies, law and the legal system, and the military) constitute what sociologists call the state. It is a term that is meant to capture than just the current government in power by incorporating the idea that the there are permanent institutions that are independent of whomever is in power.
55	civil inattention 	 The process whereby individuals in the same physical setting demonstrate to each another that they are aware of the other’s presence.	 The act of ignoring other people to an appropriate degree even while noticing that other people are present.
56	triad 	 A group consisting of three persons.	 A group of three people.
57	disengagement theory 	 A functionalist theory of aging that holds that it is functional for society to remove people from their traditional roles when they become elderly, thereby freeing up those roles for others.	 The view that society is stabilized by having the elderly retire (disengage from) their positions of responsibility so the younger generation can step into their shoes.
58	socialization 	 The social processes through which we develop an awareness of social norms and values and achieve a distinct sense of self. Although socialization processes are particularly significant in infancy and childhood, they continue to some degree throughout life. None of us are immune from the reactions of others around us, which influence and modify our behavior at all phases of our life course.	 The process by which individuals come to understand the expectations and norms of their groups as well as the various roles they transition into over the life course and how to behave in society or in particular social settings.
59	generalized other 	 A concept in the theory of George Herbert Mead, according to which the individual takes over the general values of a given group or society during the socialization process.	 The social control exercised by commonsense understandings of what is appropriate given a specific time and place.
60	control theory 	 A theory that views crime as the outcome of an imbalance between impulses toward criminal activity and controls that deter it. Control theorists hold that criminals are rational beings who will act to maximize their own reward unless they are rendered unable to do so through either social or physical controls.	 The idea that two control systems—inner controls and outer controls—work against our tendencies to deviate.
61	endogamy 	 The forbidding of marriage or sexual relations outside one’s social group.	 The practice of marrying within one’s own group.
62	role conflict 	 When two or more discordant demands are placed on individuals, rendering them unable to fulfill their own or others, expectations.	 Conflicts that someone feels between roles because the expectations are at odds with one another.
63	prejudice 	 The holding of preconceived ideas about an individual or group, ideas that are resistant to change even in the face of new information. Prejudice may be either positive or negative.	 Negative beliefs or attitudes held about entire groups based on subjective, selective, or inaccurate information. They lead to “prejudgment” of the individuals associated with stigmatized groups.
64	secondary group 	 A group characterized by its large size and by impersonal, fleeting relationships.	 Compared with a primary group, a larger, relatively temporary, more anonymous, formal, and impersonal group based on some interest or activity.
65	hypothesis 	 An idea or a guess about a given state of affairs, put forward as a basis for empirical testing.	 A prediction researchers make that they will test in their research.
66	ethnocentrism 	 The tendency to look at other cultures through the eyes of one’s own culture, and thereby misrepresent them.	 The inability to understand, accept, or reference patterns of behavior or belief different from one’s own.
67	global city 	 A city—such as London, New York, or Tokyo—that has become an organizing center of the new global economy.	 A city that contains a disproportionate amount of global business activity, particularly when connected by international finance, trade, culture, and communication to other cities around the world. Because it acts as a node at the center of global economic activity, global cities are places in which trade and investment are facilitated.
68	experiment 	 A research method in which variables can be analyzed in a controlled and systematic way, either in an artificial situation constructed by the researcher or in naturally occurring settings.	 The use of control and experimental groups and dependent and independent variables to test causation.
69	symbol 	 One item used to stand for or represent another—as in the case of a flag, which symbolizes a nation.	 Something that communicates an idea while being distinct from the idea itself.
70	profane 	 That which belongs to the mundane, everyday world.	 Durkheim’s term for common elements of everyday life.
71	suburbanization 	 The development of suburbia, areas of housing outside inner cities.	 The migration of people from the city to the suburbs.
72	underclass 	 A class of individuals situated at the bottom of the class system, often composed of people from ethnic minority backgrounds.	 A group of people for whom poverty persists year after year and across generations.
73	riot 	 A spontaneous, unplanned collective protest, loosely organized at best, involving attacks on property and (sometimes) persons.	 Violent crowd behavior directed at people and property.
74	sociology 	 The study of human groups and societies, giving particular emphasis to analysis of the industrialized world. Sociology is one of a group of social sciences, which include anthropology, economics, political science, and human geography. The divisions among the various social sciences are not clear-cut, and all share a certain range of common interests, concepts, and methods.	 The study of societies and the social worlds that individuals inhabit within them.
75	demography 	 The study of the size, distribution, and composition of populations.	 The study of population size, particularly in relation to fertility rates (the ratio of live births in a population), mortality (the ratio of deaths and the life expectancy of individuals), and migration across borders.
76	technology 	 The application of knowledge of the material world to production; the creation of material instruments (such as machines) used in human interaction with nature.	 In its narrow sense, tools; its broader sense includes the skills or procedures necessary to make and use those tools.
77	Industrial Revolution 	 The period in which mass production in factories began to develop and fostered rapid economic growth. The timing of the Industrial Revolution varied from country to country but is generally thought to have begun in the late eighteenth century and evolved throughout the nineteenth and early twentieth centuries.	 The third social revolution, occurring when machines powered by fuels replaced most animal and human power.
78	culture of poverty 	 The thesis, popularized by Oscar Lewis, that poverty is not a result of individual inadequacies but is instead the outcome of a larger social and cultural atmosphere into which successive generations of children are socialized. The culture of poverty refers to the values, beliefs, lifestyles, habits, and traditions that are common among people living under conditions of material deprivation.	 The assumption that the values and behaviors of the poor make them fundamentally different from other people, that these factors are largely responsible for their poverty, and that parents perpetuate poverty across generations by passing these characteristics to their children.
79	bureaucracy 	 A type of organization marked by a clear hierarchy of authority and the existence of written rules of procedure and staffed by full-time, salaried officials.	 A type of organization that has rules and responsibilities for each position (or job) spelled out, in which selection into those positions occurs on the basis of merit (not typically by election or inheritance). Many bureaucracies are also responsible for setting out policies and procedures that are to be adhered to by others.
80	fad 	 Any kind of behavior that spreads (often rapidly) among a specific population and is repeated enthusiastically for some period of time before disappearing (often rapidly).	 A temporary pattern of behavior that catches people’s attention.
81	pluralism 	 A model for ethnic relations in which all ethnic groups in a society retain their independent and separate identities, yet share equally in the rights and powers of citizenship.	 The diffusion of power among many interest groups that prevents any single group from gaining control of the government.
82	sexual harassment 	 The making of unwanted sexual advances by one individual toward another, in which the first person persists even though it is clear that the other party is resistant.	 The abuse of one’s position of authority to force unwanted sexual demands on someone.
83	second shift 	 The excessive work hours borne by women relative to men; these hours are typically spent on domestic chores following the end of a day of work outside the home.	 A term created and popularized by Arlie Hochschild to refer to housework, childcare, and elder care disproportionally done by women. The first shift refers to one’s paid job, whereas the second shift refers to the labor needed to keep households going.
84	means of production 	 The means whereby the production of material goods is carried on in a society, including not just technology but the social relations among producers.	 The tools, factories, land, and investment capital used to produce wealth.
85	tracking 	 Dividing students into groups according to ability.	 A term used to describe how schools assign students to distinct groups based on ability or curriculum.
86	nationalism 	 A set of beliefs and symbols expressing identification with a national community.	 A set of beliefs about the virtues of one’s country. In the sociology of race and ethnicity, nationalism includes the assumption that people are inherently members of a specific nation, and that their identities are in large part defined by their national membership.
87	generalization 	 Forming conclusions about broader society from research on a subgroup or sample of the broader society.	 A statement that goes beyond the individual case and is applied to a broader group or situation.
88	relative poverty 	 Poverty defined according to the living standards of the majority in any given society.	 A term used to define people as poor not by assessing whether their resources are sufficient to obtain basic social necessities but rather by comparing their incomes relative to other people in society.
89	social interaction 	 The process by which we act and react to those around us.	 The way people act together, including how they modify and alter their behavior in response to the presence of others. Social interaction is governed by norms.
90	individual discrimination 	 Action carried out by an individual or small group that harms, excludes, or disadvantages members of a certain group.	 Person-to-person or face-to-face discrimination; the negative treatment of people by other individuals.
91	ideology 	 Shared ideas or beliefs that serve to justify the interests of dominant groups. Ideologies are found in all societies in which there are systematic and ingrained inequalities among groups. The concept of ideology connects closely with that of power, since ideological systems serve to legitimize the power that groups hold.	 A set of ideas that constitutes one’s goals, expectations, and actions.
92	socialism 	 An economic system where the government owns some or most of all productive enterprises and makes decisions about the amount and type of goods and services to be produced.	 An economic system built around the public ownership of the means of production, central planning, and the distribution of goods without a profit motive.
93	social movement 	 A conscious, concerted, and sustained effort by ordinary people to change (or preserve) some aspect of their society by using extrainstitutional means. “Extrainstitutional means” refers to collective actions undertaken outside existing institutions, like courts and legislatures, although movements may also work through such institutions, at least part of the time.	 A large group of people who are organized to promote or resist some social change.
94	bourgeoisie 	 People who own companies, land, or stocks (shares) and use these to generate economic returns, according to Marx.	 The group in a capitalist economy who own businesses and employ people to work for them. This term is used in the Marxist tradition to refer to the most powerful class in a capitalist society.
95	globalization 	 The economic, political, and social interconnectedness of individuals and nations throughout the world.	 The growing permeability of national borders and the increase in flows of goods, services, and people across national borders.
96	crime 	 Any action that contravenes the laws established by a political authority. Although we may think of criminals as a distinct subsection of the population, there are few people who have not broken the law in one way or another during their lives. While laws are formulated by state authorities, it is not unknown for those authorities to engage in criminal behavior in certain situations.	 The violation of norms written into law.
97	social network 	 The ties or connections between people, groups, and organizations.	 The social ties radiating outward from the self that link people together.
98	economy 	 The system of production and exchange that provides for the material needs of individuals living in a given society. Economic institutions are of key importance in all social orders. What goes on in the economy usually influences other areas in social life. Modern economies differ substantially from traditional ones, because the majority of the population is no longer engaged in agricultural production.	 A system of producing and distributing goods and services.
99	animism 	 The belief that a supernatural power organizes all plants, inanimate objects, and natural phenomena and that the universe itself along with all of these objects has a soul or spiritual essence.	 The belief that all objects in the world have spirits, some of which are dangerous and must be outwitted.
100	life chances 	 A term introduced by Max Weber to signify a person’s opportunities for achieving economic prosperity.	 An individual’s long-term possibilities and potential, including future income and opportunities, given his or her current attributes such as level of education, social networks, and possession of marketable skills or assets. Members of the same class are generally said to have similar life chances.
101	macrosociology 	 The study of large-scale groups, organizations, or social systems.	 Analysis of social life that focuses on broad features of society, such as social class and the relationships of groups to one another; usually used by functionalists and conflict theorists.
102	interest group 	 A group organized to pursue specific interests in the political arena, operating primarily by lobbying the members of legislative bodies.	 An organization established to promote the interests of a group or corporation, especially in Congress or at the level of state governments.
103	conflict theory 	 Argument that deviance is deliberately chosen and often political in nature.	 A type of social theory that emerged out of dissatisfaction with structural functionalism and held that all societies are characterized by conflicts that arise from the uneven distribution of power and wealth between groups.
104	family 	 A group of individuals related to one another by blood ties, marriage, or adoption, who form an economic unit, the adult members of which are often responsible for the upbringing of children. All known societies involve some form of family system, although the nature of family relationships varies widely. While in modern societies the main family form is the nuclear family, extended family relationships are also found.	 Two or more people who consider themselves related by blood, marriage, or adoption.
105	gender 	 Social expectations about behavior regarded as appropriate for the members of each sex. Gender refers not to the physical attributes distinguishing men and women but to socially formed traits of masculinity and femininity. The study of gender relations has become one of the most important areas of sociology in recent years.	 The ways that social forces create differences between men’s and women’s behavior, preferences, treatment, and opportunities, and the characteristics of men and women that reflect these forces.
106	social facts 	 According to Émile Durkheim, the aspects of social life that shape our actions as individuals. Durkheim believed that social facts could be studied scientifically.	 Durkheim’s term for a group’s patterns of behavior.
107	power 	 The ability of individuals or the members of a group to achieve aims or further the interests they hold. Power is a pervasive element in all human relationships. Many conflicts in society are struggles over power, because how much power an individual or group is able to achieve governs how far they are able to put their wishes into practice.	 Power has three distinct dimensions in the sociological sense
108	role 	 A position within an institution or organization that comes with specific social expectations for how to behave and be treated. Some roles may be ascribed, that is, assigned to us by birth (man, woman, white, black), and some may be achieved, that is, acquired through our actions (doctor, professor, class clown).	 The behaviors, obligations, and privileges attached to a status.
109	folkways 	 A subtype of norm; they guide our casual or everyday interactions. Violations are sanctioned subtly or not at all.	 Norms that are not strictly enforced.
110	corporate crime 	 Offenses committed by large corporations in society, including pollution, false advertising, and violations of health and safety regulations.	 Crimes committed by executives in order to benefit their corporation.
111	deindustrialization 	 A steady decline in industrial or manufacturing jobs.	 The process of industries moving out of a country or region.
112	occupation 	 Any form of paid employment in which an individual regularly works.	 A job that has been formally established and has some requirements (often formalized) for training or knowledge to perform it.
113	symbolic interactionism 	 A theoretical approach in sociology developed by George Herbert Mead that emphasizes the role of symbols and language as core elements of all human interaction.	 A theory of the social world that focuses on the meanings that individuals give to objects and social practices and how they use symbolic meanings in their interactions with one another.
114	cultural universal 	 A cultural trait common to all humans and societies.	 A value, norm, or other cultural trait that is found in every group.
115	norms 	 Rules of conduct that specify appropriate behavior in a given range of social situations. A norm either prescribes a given type of behavior or forbids it. All human groups follow norms, which are always backed by sanctions of one kind or another— varying from informal disapproval to physical punishment.	 Expectations of “right” behavior.
116	immigration 	 The movement of people into one country from another for the purpose of settlement.	 A term that describes the movement of people across borders.
117	labeling theory 	 An approach to the study of deviance that suggests that people become “deviant” because certain labels are attached to their behavior by political authorities and others.	 A theory of deviance that stresses that many kinds of behaviors are deviant solely because they are labeled as such.
118	median 	 The number that falls halfway in a range of numbers—a way of calculating central tendency that is sometimes more useful than calculating a mean.	 A statistical term that refers to the value that lies at the middle (or midpoint) of all the data, with an equal number of cases with either higher or lower values.
119	looking-glass self 	 A term coined by sociologist Charles Horton Cooley to emphasize the extent to which our own self-understandings are dependent on how others view us.	 A term coined by Charles Horton Cooley to refer to the process by which our self develops through internalizing others’ reactions to us.
120	life span 	 The maximum length of life that is biologically possible for a member of a given species.	 The maximum length of life of a species; for humans, the longest that a human has lived.
121	family of orientation 	 The family into which an individual is born or adopted.	 The family in which a person grows up.
122	significant other 	 A term coined by George Herbert Mead to mean individuals close enough to us to have a strong capacity to motivate our behavior.	 An individual who significantly influences someone else.
123	stigma 	 Any physical or social characteristic that is labeled by society as undesirable.	 “blemishes” that discredit a person’s claim to a “normal” identity.
124	urban ecology 	 An approach to the study of urban life based on an analogy with the adjustment of plants and organisms to the physical environment. According to ecological theorists, the various neighborhoods and zones within cities are formed as a result of natural processes of adjustment on the part of populations as they compete for resources.	 An approach to the study of cities, social change, and urban life introduced into sociology by the Chicago School to explain how different social groups within cities compete over scarce resources. This competition was thought to promote efficiency and social equilibrium, as distinct sectors of the population adapted to their local environments.
125	genocide 	 The systematic, planned destruction of a racial, political, or cultural group.	 The deliberate and systematic killing of a category of people.
126	absolute poverty 	 The minimal requirements necessary to sustain a healthy existence.	 A measure of the minimum requirements needed for people to have basic standards of food, clothing, health, and shelter. Any individual or family falling below this fixed amount is defined as living in poverty. The official U.S. government definition of poverty is an absolute measure based on an estimate of minimum living standards first established in the 1960s and adjusted for inflation thereafter.
127	science 	 The disciplined marshaling of empirical data, combined with theoretical approaches and theories that illuminate or explain those data. Scientific activity combines the creation of new modes of thought with the careful testing of hypotheses and ideas. One major feature that helps distinguish science from other idea systems (such as religion) is the assumption that all scientific ideas are open to criticism and revision.	 The application of systematic methods to obtain knowledge and the knowledge obtained by those methods.
128	fertility 	 The average number of live-born children produced by women of childbearing age in a particular society.	 The process by which members of a population produce live births.
129	dependent variable 	 A variable that fluctuates in relation to other (“independent”) variables. In research, the dependent variable is the object of explanation, or what the researcher is trying to explain.	 A factor in an experiment that is changed by an independent variable.
130	terrorism 	 Use of attacks on civilians designed to persuade a government to alter its policies, or to damage its standing in the world.	 A type of warfare in which a weaker group challenges a more powerful group by attacking civilian targets of importance to the more powerful group. State terrorism occurs when a country’s military attacks civilian populations.
131	nuclear family 	 A family group consisting of an adult or adult couple and their dependent children.	 A term used to describe a family consisting of a husband and wife and their children.
132	egalitarian 	 A society, organization, or group characterized by having little or very low levels of inequality.	 Authority more or less equally divided between people or groups (in heterosexual marriage, for example, between husband and wife).
133	feminism 	 Advocacy of the rights of women to be equal with men in all spheres of life. Feminism dates from the late eighteenth century in Europe, and feminist movements exist in most countries today.	 The philosophy that men and women should be politically, economically, and socially equal; organized activities on behalf of this principle.
134	mean 	 A statistical measure of central tendency, or average, based on dividing a total by the number of individual cases.	 A statistical term that refers to the average value of a set of data. Add all values and then divide the total by the number of values used.
135	social structure 	 The external forces, most notably social hierarchy, norms, and institutions, that provide the context for individual and group action.	 The framework of society that surrounds us; consists of the ways that people and groups are related to one another; this framework gives direction to and sets limits on our behavior.
136	dependency ratio 	 The ratio of people of dependent ages (children and the elderly) to people of economically active ages.	 The number of workers who are required to support each dependent person—those 65 and older and those 15 and under.
137	charisma 	 Derived from a Greek word meaning “gift of grace,” Weber introduced the idea of charisma into the sociological study of social change to refer to unique individuals who claim special powers or gifts that their followers believe to be true.	 Literally, an extraordinary gift from God; more commonly, an outstanding, “magnetic” personality.
138	sect 	 A religious movement that breaks away from orthodoxy.	 A religious group larger than a cult that still feels substantial hostility from and toward society.
139	life course 	 The various transitions and stages people experience during their lives.	 The transitions individuals make as they age through their lives. A typical life course includes childhood, adolescence, the transition to adulthood and first job, perhaps becoming a parent, retiring, and death. The study of the life course by sociologists centers on the key transitions, or turning points, in individual lives and the larger social patterns they represent.
140	Medicare 	 A program under the U.S. Social Security Administration that reimburses hospitals and physicians for medical care provided to qualifying people over sixty-five years old.	 A federal government program in the United States that provides health insurance to all individuals over 65 years of age.
141	division of labor 	 The specialization of work tasks, by means of which different occupations are combined within a production system. All societies have at least some rudimentary form of division of labor, especially between the tasks allocated to men and those performed by women. With the development of industrialism, the division of labor became vastly more complex than in any prior type of production system. In the modern world, the division of labor is international in scope.	 The specialization of individuals in any organization or group, or in society as a whole, particularly in relation to work. There is thus a division of labor in all of society (with different people working in different occupations), a division of labor in individual organizations (where different people perform different tasks) and a division of labor in individual families and communities.
142	religion 	 A set of beliefs adhered to by the members of a community, incorporating symbols regarded with a sense of awe or wonder together with ritual practices. Religions do not universally involve a belief in supernatural entities.	 According to Durkheim, beliefs and practices that separate the profane from the sacred and unite its adherents into a moral community.
143	wealth 	 Money and material possessions held by an individual or group.	 The wealth of an individual or family is the net value of all assets owned by an individual or family, including the value of their home.
144	glass ceiling 	 A promotion barrier that prevents a woman’s upward mobility within an organization.	 A term used to describe the limitations on the advancement of women in corporations, suggesting that even as firms begin to hire large numbers of women they are failing to promote them into positions of power and authority.
145	random sampling 	 Sampling method in which a sample is chosen so that every member of the population has the same probability of being included.	 A technique for choosing participants for a research study in which each person in the population of interest has an equal chance of being chosen so that the sample mirrors a larger population and reflects its characteristics or dynamics.
146	ageism 	 Discrimination or prejudice against a person on the grounds of age.	 Prejudice and discrimination directed against people because of their age; can be directed against any age group, including youth.
147	formal organization 	 Means by which a group is rationally designed to achieve its objectives, often using explicit rules, regulations, and procedures.	 A secondary group designed to achieve explicit objectives.
148	multiculturalism 	 The viewpoint according to which ethnic groups can exist separately and share equally in economic and political life.	 Beliefs or policies promoting the equal accommodation of different ethnic or cultural groups within a society. It is sometimes also used to refer to the benefits of dialogue and interaction between different groups.
149	public opinion 	 The views of citizens in the aggregate on social and political topics. Public opinion is usually measured through opinion polls and surveys, where modern sampling techniques allow researchers to estimate opinions by asking a smaller representative group of citizens.	 How people think about some issue.
150	secularization 	 A process of decline in the influence of religion. Although modern societies have become increasingly secularized, tracing the extent of secularization is a complex matter. Secularization can refer to levels of involvement with religious organizations (such as rates of church attendance), the social and material influence wielded by religious organizations, and the degree to which people hold religious beliefs.	 A process of declining influence or marginalization of religion in society.
151	latent functions 	 Functional consequences that are not intended or recognized by the members of a social system in which they occur.	 Unintended beneficial consequences of people’s actions.
152	mores 	 A subtype of norm; they are widely adhered to and have great moral or social significance. Violations are generally sanctioned strongly.	 Norms that are strictly enforced because they are thought essential to core values or the well-being of the group.
153	survey 	 A method of sociological research in which questionnaires are administered to the population being studied.	 A type of research in which information is derived by asking people to answer standardized questions, which may collect information about any aspect of human life of interest to the investigator, including information about jobs, employment, family life, health, education, and policy or political attitudes and values.
154	ethnicity 	 Cultural values and norms that distinguish the members of a given group from others. An ethnic group is one whose members share a distinct awareness of a common cultural identity, separating them from other groups. In virtually all societies, ethnic differences are associated with variations in power and material wealth. Where ethnic differences are also racial, such divisions are sometimes especially pronounced.	 A system for classifying people who are believed to share common descent, based on perceived cultural similarities.
