Absolute monarchy -  A political system under which a king or queen has complete control of a country.
Institutionalized means -  Legitimate, socially approved ways that societies offer their members to achieve culturally approved goals.
Labeling theory -  A theory of deviance put forth by Howard Becker that claims that deviance is that which is so labeled.
Law -  A norm that is written down and enforced by an official agency.
Least industrialized nations -  Primarily agricultural nations that account for half of the land on Earth.
Looking-glass self -  Charles Horton Cooley’s theory of socialization, which posits that we form our self-images on the basis of what we perceive to be others’ views of us.
Macrosociology -  Sociological analysis focused on large-scale social forces.
Manner of interacting -  The attitudes that we convey in an attempt to get others to form certain impressions about us. According to Goffman, it is one of the sign vehicles we use to present ourselves to others, along with the setting and our appearance.
Mass media -  Communications media that direct messages and entertainment at a wide audience.
Mass society -  A large impersonal society in which individual achievement is valued over kinship ties and in which people often feel isolated from one another.
Master status -  A status we possess that overrides all other statuses and becomes the one by which we are known to others.
Material culture -  The tangible, visible items of a culture.
Matrilocality -  A social custom in which married couples live in the home of the wife’s family.
Medicine -  The institution responsible for defining and treating mental and physical problems among its members.
Melting pot -  A term used to refer to a pluralistic society in which people who originally come from different societies blend together to form a new society.
Meritocracy -  A system of stratification in which positions are given according to individual merit.
Microsociology -  Sociological analysis focused on social interaction between individuals.
Middle class -  The class that consists of people who earn their money by working at professional jobs, also called white-collar jobs.
Monarchy -  A political system in which a representative from one family controls the government and power is passed on through that family from generation to generation.
Monogamy -  Marriage between one man and one woman.
Monotheism -  Belief in a single deity.
Moral reasoning -  The reasons that people think the way they do about what’s right and wrong.
More -  A norm based on notions of morality.
Most industrialized nations -  Highly industrialized, capitalistic countries, including America, Canada, Great Britain, France, Germany, and Japan.
Multiculturalism -  A term often used instead of “melting pot” to denote a pluralistic society in which the original cultural heritages of its citizens are recognized and respected.
Multinational corporations -  Large corporations that do business in a number of different countries.
Negative sanction -  A socially constructed expression of disapproval.
Neocolonialism -  Michael Harrington’s term for the tendency of the most industrialized nations to exploit less developed countries politically and economically.
Neolocality -  A social custom in which married couples move to a new home of their own together.
Network -  A series of social ties that can be important sources of information, contacts, and assistance for its members.
New money -  The class that consists of people whose wealth has been around only for a generation or two.
Nobility -  The highest stratum of the estate system of stratification. Members had significant inherited wealth and did little or no discernible work.
Nonmaterial culture -  The intangible, invisible parts of a culture, such as values.
Norm -  A guideline or an expectation for behavior.
Nuclear family -  One or both parents and their children.
Oligarchy -  The rule of the many by the few.
Out-group -  A group to which one does not belong and to which one does not feel loyalty.
Outer controls -  According to control theory, individuals who encourage people not to stray into deviance.
Pastoral society -  A society that relies on the domestication and breeding of animals for food.
Patrilocality -  A social custom in which married couples live in the home of the husband’s family.
Peer group -  A social group in which members are usually the same age and have interests and social position in common.
Personal space -  The area immediately around one’s body that one can claim as one’s own.
Pluralistic society -  A society composed of many different kinds of people.
Polyandry -  Marriage between one woman and more than one man.
Polygamy -  Marriage between one man and more than one woman.
Polytheism -  Belief in many deities.
Positive sanction -  A socially constructed expression of approval.
Postindustrial society -  A society that features an economy based on services and technology, not production.
Poverty level -  An estimate set by the federal government of the minimum income that a family of four needs to survive.
Power -  According to Weber, the ability to achieve ends even in the face of resistance.
Power elite -  A term coined by C. Wright Mills that refers to his theory that the United States is actually run by a small group representing the most wealthy, powerful, and influential people in business, government, and the military.
Primary deviance -  According to Lemert, a deviant act that elicits little or no reaction from others.
Primary group -  A group in which there is frequent face-to-face contact, little task orientation, and emotional intimacy among members.
Primary socialization -  The learning that we experience from the people who raise us.
Primogeniture -  A law stipulating that only a first-born son could inherit his father’s wealth.
Proletariat -  Karl Marx’s term for the working masses.
Props -  The things used to decorate a setting, according to Goffman’s theory of impression management. Props also include manner of dress.
Rational-legal authority -  Authority that rests on rules and laws, according to Weber’s power theory.
Rationalization of society -  Weber’s theory that bureaucracies would gain increasing power over modern life, eventually governing almost every aspect of society.
Rebels -  According to Robert Merton’s theory of goals and means, those who reject both cultural goals and the institutionalized means of achieving them, but who replace them with goals and means of their own.
Recidivism -  The tendency of convicted criminals to repeat offenses.
Reference group -  The group to whom we compare ourselves for purposes of self-evaluation.
Reincarnation -  The belief that while the physical body dies, the soul of a person is immortal and goes on to be reborn into another body.
Religion -  The institution responsible for answering people’s larger questions and for explaining the seemingly inexplicable.
Resocialization -  The learning of new norms and values.
Retreatists -  According to Robert Merton’s theory of goals and means, those who reject cultural goals as well as the institutionalized means of achieving them.
Revolution -  A violent overthrow of the government by its citizens.
Ritualists -  According to Robert Merton’s theory of goals and means, those who reject cultural goals but accept the institutionalized means of achieving them.
Role -  A set of norms, values, and personality characteristics expected of a person based on the setting he or she is in.
Role conflict -  The conflict that can result from the competing demands of two or more roles.
Sanction -  A socially constructed expression of approval or disapproval.
Secondary deviance -  According to Lemert, repeated deviant behavior that is brought on by other people’s negative reactions to the original act of deviance.
Secondary group -  A group in which there is infrequent or short-term contact, little task orientation, and no emotional intimacy among members.
Sect -  A religious group that sets itself apart from society as a whole.
Self -  The part of a person’s personality consisting of self-awareness and self-image.
Setting -  The place where interaction takes place. According to Goffman, it is one of the sign vehicles we use to present ourselves to others, along with manner of interacting and appearance.
Sign vehicles -  Goffman’s term for the mechanisms we use to present ourselves to others. Sign vehicles consist of setting, appearance, and manner of interacting.
Significant other -  According to Charles Horton Cooley, a person in our lives whose opinions matter to us and who is in a position to influence our thinking.
Skilled worker -  A worker who is literate and has experience and expertise in specific areas of production or on specific kinds of machines.
Slavery -  A system of stratification in which one person owns another, usually for economic gain.
Social control -  The ways a society devises to encourage conformity to norms.
Social construction of reality -  A theory suggesting that the way in which we present ourselves is shaped by our life experiences, as well as by our interactions with others.
Social group -  Two or more people who interact and identify with each other.
Social integration -  The degree to which an individual feels connected to the other people in his or her group or community.
Social mobility -  Movement up or down the social hierarchy.
Society’s rewards -  The things a society holds in high esteem, such as wealth, power, and prestige.
Socialism -  A system under which resources and means of production are owned by the society as a whole, rights to private property are limited, the good of the whole society is stressed more than individual profit, and the government maintains control of the economy.
Socialization -  The process whereby we learn to become competent members of a group.
Society -  A collection of people with territory, interaction, and a culture.
Socioeconomic status (SES) -  A calculation based on a complex formula that takes into account education, occupation, and income.
Spoiled identity -  Goffman’s term for an identity that has been permanently ruined because of a severe stigma.
State capitalism -  A system under which resources and means of production are privately owned but closely monitored and regulated by the government.
Status -  The position that a person occupies in a particular setting.
Status inconsistency -  Any inconsistency between various statuses.
Status set -  The collection of all of our different statuses, from every setting in which we are a member.
Status symbol -  A sign or symbol that we wear or carry that represents a particular status.
Stereotype -  An assumption we make about a person or a group, often on the basis of incorrect or incomplete information.
Stigma -  Goffman’s term for a trait that we possess that causes us to lose prestige in the eyes of others.
Strain theory -  Robert Merton’s theory that posits that people experience strain and frustration when they are prevented from achieving culturally approved goals through institutionalized means.
Stratification -  A societal system in which there is an unequal distribution of society’s rewards and in which people are arranged hierarchically into layers according to how many of society’s rewards they possess.
Structural functionalist theory -  A sociological view of society as a complex unit made up of interrelated parts. Sociologists who apply this theory study social structure and social function.
Subculture -  A group that espouses a way of living that is different from that of the dominant culture.
Superego -  According to Freud, the part of the mind that encourages conformity to societal norms and values. It is also called the conscience.
Symbolic interactionist perspective -  A sociological framework that views society as a product of the everyday social interactions of individuals.
Taboo -  A norm so strongly held by a society that its violation brings extreme disgust.
Terrorism -  A politically motivated violent attack on civilians by an individual or group.
Thomas Theorem -  The theory espousing sociologist W. I. Thomas’s idea that “if a person perceives a situation as real, it is real in its consequences.”
Total institution -  According to Erving Goffman, a highly standardized institution in which all the residents’ actions are determined and monitored by authority figures.
Totalitarianism -  A political system under which the government maintains tight control over nearly all aspects of citizens’ lives.
Traditional authority -  Authority that rests on well-established cultural patterns, according to Weber’s power theory.
Triad -  According to Georg Simmel, a group composed of three people.
Upper class -  The highest social group, consisting of people with inherited wealth and a recognizable family name.
Urbanization -  The process by which the majority of a population comes to live within commuting distance of a major city.
Value -  A culturally approved belief about what is right or wrong, desirable or undesirable.
Victimless crime -  Crimes in which laws are violated but there is no identifiable victim.
Voluntary association -  A group we choose to join, in which members are united by the pursuit of a common goal.
War -  Armed conflict between nations or societies.
Welfare capitalism -  A system that features a market-based economy coupled with an extensive social welfare system that includes free health care and education for all citizens.
White collar -  Middle-class workers; so called because of the tendency of middle-class men to wear white shirts to work.
White-collar crime -  Nonviolent crime committed by the capitalist class during the course of their occupations.
Working class -  The class composed of people who sell their labor to a higher class. They may have had vocational or technical training and have jobs such as electrician or factory worker.
Working poor -  The class composed of people whose work leaves them vulnerable to falling below the poverty level.
World system theory -  Wallerstein’s theory that as societies industrialized, capitalism became the dominant economic system, leading to the globalization of capitalism.

(Below is taken from http://www.asanet.org/sites/default/files/savvy/introtosociology/Documents/Glossary.html)
Absolute poverty The condition of having too little income to buy the necessities-- food, shelter, clothing, health care.
Achieved status A social position (status) obtained through an individual's own talents and efforts.
Affirmative action The requirement that employers make special efforts to recruits hire and promote qualified members of previously excluded groups including women and minorities.
Aggregate A collection of unrelated people who do not know one another but who may occupy a common space--for example, a crowd of people crossing a city street.
Agrarian societies Societies in which large scale cultivation using plows and draft animals is the primary means of subsistence.
Alienation The separation or estrangement of individuals from themselves and from others.
Amalgamation The biological as well as cultural assimilation (merging) of racial or ethnic groups.
Anomalies In science observations or problems that cannot be explained or solved in terms of a prevailing paradigm.
Anomie A breakdown or confusion in the norms, values, and culture of a group or a society. A condition of relative normlessness.
Anomie theory The theory suggesting that deviance and crime occur when there is an acute gap between cultural norms and goals and the socially structured opportunities for individuals to achieve those goals.
Anticipatory socialization The process of taking on the attitudes values and behaviors of a status or role one expects to occupy in the future.
Apartheid The recent policy of racial separation in South Africa enforced by legal political and military power.
Ascribed status A social position (status) such as sex, race, and social class that a person acquires at birth.
Assimilation The merging of minority and majority groups into one group with a come mon culture and identity.
Association A group of people bound together by common goals and rules, but not necessarily by close personal ties.
Athletics A form of sport that is closer to work than to play.
Authority Power regarded as legitimate.
Autocracy Rule or government concentrated in a single ruler or group of leaders who are willing to use force to maintain control.
Baby boom The people who were born in the United States between 1946 and 1965. This group represented a sharp increase in birth rates and in the absolute number of births compared to pre-1946 levels.
Bias The influence of a scientist's personal values and attitudes on scientific observations and conclusions.
Bicultural The capacity to understand and function well in more than one cultural group.
Birth rate Number of births per year per 1000 women 15 to 44 years old.
Bureaucracy A large-scale formal organization with centralized authority, a hierarchical chain of command, explicit rules and procedures, and an emphasis on formal positions rather than on persons.
Calling The idea in certain branches of ascetic Protestantism that one can live acceptably to God by fulfilling the obligations imposed by one's secular position in the world.
Capitalism A form of economic organization in which private individuals accumulate and invest capital, own the means of production, and control profits.
Caste system A closed system of social stratification in which prestige and social relationships are based on hereditary position at birth.
Centrally planned economy An economic system that includes public ownership of or control over all productive resources and whose activity is planned by the government.
Charisma The exceptional mystical or even supernatural quality of personality attributed to a person by others. Literally, "the gift of grace."
Charismatic leader An individual who enlists the strong emotional support of followers through personal and seemingly supernatural qualities.
Charter The capacity of certain schools to confer special rights on their graduates.
Church A formally organized, institutionalized religious organization with formal and traditional religious doctrine, beliefs, and practices.
City A relatively permanent settlement of large numbers of people who do not grow or gather their own food.
Civil law The branch of law that deals largely with wrongs against the individual.
Civil religion The interweaving of religious and political symbols in public life.
Class Position in a social hierarchy based on prestige and/or property ownership.
Class conflict The struggle between competing classes, specifically between the class that owns the means of production and the class or classes that do not.
Class consciousness The sense of common class position and shared interests held by members of a social class.
Class system A system of stratification based primarily on the unequal ownership and control of economic resources.
Closed system In organizational theory, the degree to which an organization is shut off from its environment.
Coercion A form of social interaction in which one is made to do something through the use of social pressure, threats, or force.
Cognitive development The systematic improvement of intellectual ability through a series of stages.
Cognitive development theory Suggests that individuals try to pattern their lives and experiences to form a reasonably consistent picture of their beliefs, actions, and values.
Cohort Persons who share something in common, usually being born in the same year or time period.
Commitment Willingness of members of a group to do what is needed to maintain the group.
Community A collection of people in a geographical area; may also include the idea that the collection has a social structure and a sense of community spirit or belonging.
Comparable worth A policy of equal pay for men and women doing similar work, even if the jobs are labeled differently by sex.
Competition A goal-directed form of social interaction in which the goals or objects pursued are limited, so not all competitors can attain them. Competitive behavior is governed by rules and limitations (restraints) .
Complementary marriages Marriages in which husband and wife take distinctly separate family roles.
Concentric-zone theory A theory of urban development holding that cities grow around a central business district in concentric zones, with each zone devoted to a different land use.
Concept A formal definition of what is being studied.
Conflict A form of social interaction involving direct struggle between individuals or groups over commonly valued resources or goals. Differs from competition because individuals are more interested in defeating an opponent than in achieving a goal.
Conflict approach One of the major theoretical perspectives in sociology: emphasizes the importance of unequal power and conflict in society. Weberian conflict theorists stress inequality and conflict based on class, status, power; Marxian theorists emphasize conflict and inequality based on ownership of the means of production.
Conformity Going along with the norms or behaviors of a group.
Conjugal family A form of family organization centered around the husband-wife relationship rather than around blood relationships.
Consolidated Metropolitan Statistical Area (CMSA) A "supercity" with more than one million people. There were 21 such cities in the United States in 1984.
Contact hypothesis The theory that people of different racial groups who became acquainted would be less prejudiced toward one another.
Contagion theory Le Bon's theory that the anonymity people feel in a crowd makes them susceptible to the suggestions of fanatical leaders, and that emotions can sweep through such a crowd like a virus.
Content analysis A research method used to describe and analyze in an objective and systematic way the content of literature, speeches, or other media presentations. The method helps to identify cultural themes or trends.
Content of socialization The ideas, beliefs, values, knowledge, and so forth that are presented to people who are being socialized.
Contest mobility The educational pattern in which selection for academic and university education is delayed and children compete throughout their schooling for high positions.
Context of socialization The setting or arena within which socialization occurs.
Continued subjugation The use of force and ideology by one group to retain domination over another group.
Control group A group that is not exposed to the independent variable of interest to a researcher but whose members' backgrounds and experience are otherwise like those of the experimental group that is exposed to the independent variable.
Controlling for In research, the effort to hold constant factors that might be influencing observed changes in the dependent variable.
Convergence theory A theory suggesting that modernizing nations come to resemble one another over time. In collective behavior, a theory suggesting that certain crowds attract particular types of people, who may behave irrationally.
Cooperation A form of social interaction involving collaborative effort among people to achieve a common goal.
Cooptation A social process by which people who might otherwise threaten the stability or existence of an organization are brought into the leadership or policy-making structure of that organization.
Correlation An observed association between a change in the value of one variable and a change in the value of another variable.
Counterculture A subculture whose norms and values sharply contradict the dominant norms and values of the society in which it occurs.
Creationism A theory that sees all major types of living things, including people, as having been made by the direct creative action of God in six days.
Credential The educational degree or certificate used to determine a person's eligibility for a position.
Crime A behavior prohibited by law.
Criminal law Law enacted by recognized political authorities that prohibits or requires certain behaviors.
Criteria for inferring causality Evidence that two variables are correlated and that the hypothesized cause preceded the hypothesized effect in time, as well as evidence eliminating rival hypotheses.
Crude birth rate The total number of live births per 1000 persons in a population within a particular year.
Crude death rate The number of deaths per 1000 persons occurring within a one-year period in a particular population.
Cult An organized group of people who together act out religious feelings, attitudes, and relationships; may focus on an unusual form of worship or belief.
Cultural capital Symbolic wealth socially defined as worthy of being sought and possessed.
Cultural change Modifications or transformations of a culture's customs, values, ideas, or artifacts.
Cultural determinism The view that the nature of a society is shaped primarily by the ideas and values of the people living in it.
Cultural division of labor A situation in which a person's place in the occupational world is determined by his or her cultural markers (such as ethnicity).
Cultural imposition The forcing of members of one culture to adopt the practices of another culture.
Cultural relativism The view that the customs and ideas of a society must be viewed within the context of that society.
Cultural revolution The repudiation of many existing cultural elements and the substitution of new ones.
Cultural universals Cultural features, such as the use of language, shared by all human societies.
Culture The common heritage shared by the people of a society, consisting of customs, values, language, ideas, and artifacts.
Culture lag The time difference between the introduction of material innovations and resulting changes in cultural practices.
Culture of poverty A distinctive culture thought to develop among poor people and characterized by failure to delay gratification, fatalism, and weak family and community ties.
Culture pattern theory In the sociology of sport, a theory that explains aggression and violence in sport as learned behavior that mirrors the degree of aggression and violence in the society.
Cyclical theories Theories of social change suggesting that societies follow a certain life course, from vigorous and innovative youth to more materialistic maturity and then to decline.
Deduction Reasoning from the general to the specific.
Defining the situation The socially created perspective that people apply to a situation.
Democracy A form of political organization in which power resides with the people and is exercised by them.
Democratic-collective organization An organization in which authority is placed in the group as a whole, rules are minimized, members have considerable control over their work, and job differentiation is minimized.
Demographic transition The demographic change experienced in Western Europe and North America since the industrial revolution in which the birth rate has declined so that it is about equal to the death rate.
Demography The scientific study of population size, composition, and distribution as well as patterns of change in those features.
Denomination One of a number of religious organizations in a society with no official state church. Has some formal doctrines, beliefs, and practices, but tolerates diverse religious views.
Dependency theory A theory about the place of developing nations in the world economy suggesting that major industrial nations take advantage of the cheap labor and raw materials of developing nations and hence are reluctant to see them become industrialized.
Dependent variable The variable that occurs or changes in a patterned way due to the presence of, or changes in, another variable or variables.
Descriptive study A research study whose goal is to describe the social phenomena being studied.
Deskilling The process of breaking down jobs into less complex segments that require less knowledge and judgment on the part of workers.
Deterrence theory The view that certain qualities of punishment-- such as certainty, swiftness, and severity-- will help prevent others from committing crimes that have been so punished.
Deviance Behaviors or characteristics that violate important social norms.
Deviant career The regular pursuit of activities regarded by the individual and by others as deviant.
Differential association A theory that attributes the existence of deviant behavior to learning from friends or associates.
Differentiation, functional The division of labor or of social roles within a society or an organization.
Differentiation, rank The unequal placement and evaluation of various social positions.
Diffusion The spread of inventions and discoveries from one group or culture to another on a voluntary basis; a source of cultural change.
Discovery The uncovering of something that existed but was unknown; a source of cultural change.
Discrimination The unequal and unfair treatment of individuals or groups on the basis of some irrelevant characteristic, such as race, ethnicity, religion, sex, or social class.
Division of labor The assignment of specialized tasks to various members of a group, organization, community, or society.
Dominant status One social position that overshadows the other social positions an individual occupies.
Domination The control of one group or individual by another.
Double standard A set of social norms that allows males greater freedom of sexual expression, particularly before marriage, than females.
Dramaturgical analysis An approach to social situations developed by Erving Goffman in which they are examined as though they were theatrical productions.
Dual-career families Families in which both husband and wife have careers.
Dual-career responsibilities The responsibilities of women who are wives as well as workers‹ often used to explain why women earn less.
Dual economy The conceptual division of the private sector of the economy into monopoly (core) and competitive (periphery) sectors.
Dyad A group composed of two people.
Dysfunction Any consequence of a social system that disturbs or hinders the integration, adjustment, or stability of the system.
Ecological paradigm A theory of land use and living patterns that examines the interplay among economic functions, geographical factors, demography, and the replacement of one group by another.
Ecological succession In urban sociology, the replacement of one group by another over time.
Ecological view An approach to the study of culture or other social phenomena that emphasizes the importance of examining climate, food and water supplies, and existing enemies in the environments.
Ecology The scientific study of how organisms relate to one another and to their environments.
Economic core The sector of the economy characterized by large, generally very profitable, oligopolistic firms that are national or multinational in scope; also called the monopoly sector.
Economic growth An increase in the amount of goods and services produced with the same amount of labor and resources.
Economic institution The pattern of roles, norms, and activities organized around the production, distribution, and consumption of goods and services in a society.
Economic periphery The sector of the economy characterized by small, local, barely profitable firms; also called the competitive sector.
Ecosystem A system formed by the interaction of a community of organisms with its environment.
Education The process, in school or beyond, of transmitting a society's knowledge, skills, values, and behaviors.
Egalitarian marriage A family in which husband and wife share equally in family decision making.
Ego In Freudian theory, a concept referring to the conscious, rational part of the personality structure, which mediates between the impulses of the id and the rules of society.
Elderly dependency ratio The ratio between the number of the elderly (65 and over) and the number of working-age people (ages 18 to 64).
Emergent norm theory A theory of collective behavior suggesting that people move to form a shared definition of the situation in relatively normless situations.
Emotion work An individual's effort to change an emotion or feeling to one that seems to be more appropriate to a given situation.
Equilibrium In functionalist theory, the view that the parts of a society fit together into a balanced whole.
Ethnic group A group that shares a common cultural tradition and sense of identity.
Ethnocentrism The tendency to see one's own culture as superior to all others.
Ethnography A detailed study based on actual observation of the way of life of a human group or society.
Ethnomethodology The study of the methods used by individuals to communicate and make sense of their everyday lives as members of society. Many ethnomethodologists focus on the study of language and everyday conversation.
Evangelicalism A form of Protestantism that stresses the preaching of the gospel of Jesus Christ, the validity of personal conversion, the Bible as the basis for belief, and active preaching of the faith.
Evolutionary theories Theories of social change that see societies as evolving from simpler forms to more complex ones. In biology, the theory that living organisms develop new traits that may aid their adaptation or survival.
Exchange A form of social interaction involving trade of tangibles (objects) or intangibles (sentiments) between individuals.
Exchange theory An interpretive perspective that explains social interaction on the basis of the exchange of various tangible or intangible social rewards.
Experiment A carefully controlled situation where the independent variable is manipulated while everything else remains the same; the aim is to see whether the dependent variable will change.
Experimental group In research, the group of individuals exposed to the independent variable that is being introduced by the experimenter.
Explanatory study A research study with the goal of explaining how or why things happen the way they do in the social world.
Expressive A type of role that involves the showing of emotional feelings or preferences in interpersonal relationships.
Expressive leader A group leader whose role in the group is to help maintain stability through joking, mediating conflicts, and otherwise reducing tension.
Extended family A family in which relatives from several generations live together.
Face-work A term used by Goffman to refer to the actions taken by individuals to make their behavior appear consistent with the image they want to present.
Fads Striking behaviors that spread rapidly and that, even though embraced enthusiastically, remain popular for only a short time.
Family Two or more persons who are related by blood, marriage, adoption, or serious long-term commitment to each other, and who live together. They usually form an economic unit, and adult members care for the dependent children.
Fashion A socially approved but temporary style of appearance or behavior.
Flow An experience of total involvement in one's present activity.
Folkways Social norms to which people generally conform, although they receive little pressure to do so.
Formal organizations Highly structured groups with specific objectives and usually clearly stated rules and regulations.
Formal sanction A social reward or punishment that is administered in an organized, systematic way, such as receiving a diploma or getting a fine.
Functional approach A theoretical approach that analyzes social phenomena in terms of their functions in a social system.
